,Rank,Features,Accuracy,Precision,Recall,F1 score,Learning_rate,Loss,Max_depth,Max_features,Min_samples_split,N_estimators
211,212,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,55
212,213,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,65
213,214,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,75
214,215,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,85
215,216,"a, e, n",1.000,0.936,0.947,0.939,0.2,log_loss,,sqrt,3,95
216,217,"a, sinI, n",1.000,0.934,0.947,0.939,0.2,exponential,4.0,sqrt,3,45
217,218,"a, e, n",1.000,0.969,0.917,0.939,0.1,exponential,4.0,sqrt,3,35
218,219,"a, n",1.000,0.942,0.940,0.939,0.1,exponential,4.0,sqrt,3,65
219,220,"a, n",1.000,0.942,0.940,0.939,0.1,exponential,4.0,sqrt,3,75
220,221,"a, sinI, n",1.000,0.939,0.940,0.939,0.2,exponential,4.0,sqrt,3,85
221,222,"a, sinI, n",1.000,0.939,0.939,0.939,0.1,exponential,4.0,sqrt,3,95
222,223,"a, n",1.000,0.949,0.932,0.939,0.2,exponential,,sqrt,3,45
223,224,"a, n",1.000,0.949,0.932,0.939,0.2,exponential,,sqrt,3,55
224,225,"a, n",1.000,0.949,0.932,0.939,0.2,exponential,,sqrt,3,65
225,226,"a, n",1.000,0.949,0.932,0.939,0.2,exponential,,sqrt,3,75
226,227,"a, n",1.000,0.949,0.932,0.939,0.2,exponential,,sqrt,3,85
227,228,"a, n",1.000,0.949,0.932,0.939,0.2,exponential,,sqrt,3,95
228,229,"a, e",1.000,0.941,0.939,0.938,0.1,log_loss,,sqrt,3,75
229,230,"a, e",1.000,0.941,0.939,0.938,0.1,log_loss,,sqrt,3,85
230,231,"a, e",1.000,0.941,0.939,0.938,0.1,log_loss,,sqrt,3,95
231,232,"a, n",1.000,0.950,0.932,0.938,0.1,exponential,,sqrt,3,55
232,233,"a, n",1.000,0.950,0.932,0.938,0.1,exponential,,sqrt,3,65
233,234,"a, n",1.000,0.950,0.932,0.938,0.1,exponential,,sqrt,3,75
234,235,"a, n",1.000,0.950,0.932,0.938,0.1,exponential,,sqrt,3,85
